Date,Location,Series_Complete_Cumulative
02/14/2021,SC,248043
08/10/2021,ID,689585
04/17/2021,AS,16111
10/22/2021,NM,1303990
05/02/2021,DE,364570
09/22/2021,OK,1888972
09/17/2021,VT,438567
10/15/2021,NV,1611825
02/26/2021,WA,687635
06/10/2021,KY,1770865
12/10/2021,NH,897958
09/15/2021,ND,350542
06/12/2021,NM,1069615
04/12/2021,AZ,1811353
09/19/2021,GU,113900
05/23/2021,MP,21737
07/19/2021,HI,759208
04/29/2021,DE,350411
04/22/2021,IL,4115025
04/15/2021,NE,570669
12/20/2020,NM,143
09/15/2021,UT,1625061
09/25/2021,NV,1567722
03/20/2021,MD,910617
02/09/2021,VA,308093
05/27/2021,AL,1515973
03/28/2021,SD,199981
06/04/2021,GA,3607206
10/14/2021,OR,2641592
08/08/2021,UT,1489347
11/05/2021,DE,591334
10/09/2021,GU,119626
04/24/2021,OK,1229526
05/25/2021,NY,9397049
12/20/2020,ME,26
08/16/2021,PR,2126048
01/08/2021,CA,110037
08/14/2021,NJ,5390056
04/23/2021,NV,849695
07/16/2021,OR,2362756
03/23/2021,NE,330513
12/15/2021,NH,900045
09/15/2021,PR,2266508
01/22/2021,IL,164005
10/15/2021,AZ,3837243
05/21/2021,WV,977677
10/23/2021,CA,24150607
01/24/2021,AZ,86137
09/30/2021,IA,1722085
01/13/2021,AS,747
09/12/2021,AK,367680
05/24/2021,FM,20034
09/14/2021,AZ,3678765
04/10/2021,NH,336789
04/03/2021,MT,249808
12/06/2021,CO,3714155
03/07/2021,NM,323206
06/17/2021,GU,88648
05/22/2021,OK,1427748
05/04/2021,ME,603695
09/09/2021,PR,2240692
09/12/2021,RI,712927
01/04/2021,VI,2
10/24/2021,US,191284495
09/21/2021,NJ,5721056
11/05/2021,KY,2306918
04/18/2021,MH,12240
09/30/2021,FL,12502300
05/08/2021,SD,356381
07/23/2021,MN,3159417
10/22/2021,UT,1729780
06/27/2021,RP,13113
03/27/2021,OR,727599
09/06/2021,MI,5130331
01/05/2021,DC,691
09/03/2021,NM,1229773
09/20/2021,RP,15251
10/20/2021,AZ,3854216
06/03/2021,MH,15154
07/03/2021,TX,12423850
11/08/2021,WI,3433345
07/21/2021,NV,1359488
01/25/2021,GU,4955
08/23/2021,OH,5658059
02/24/2021,CT,337929
01/24/2021,WI,74700
11/05/2021,OR,2680077
01/30/2021,DE,19441
04/20/2021,CT,1253532
08/15/2021,VI,41919
06/28/2021,IA,1541416
09/26/2021,SC,2443465
12/08/2021,MS,1417735
11/22/2021,UT,1790493
05/22/2021,MT,429508
09/17/2021,AK,371111
08/19/2021,NC,4930956
09/12/2021,PR,2250514
12/16/2020,TN,338
12/20/2020,AS,0
03/09/2021,MO,643016
11/18/2021,MA,4877369
12/15/2020,PR,16
01/29/2021,NM,78450
08/06/2021,MI,4956820
02/13/2021,WI,278170
06/08/2021,CT,2076743
06/23/2021,IN,2848775
03/31/2021,TN,1123414
05/10/2021,US,125544296
10/01/2021,DE,571745
11/20/2021,PR,2375226
06/30/2021,FL,10131914
10/25/2021,NC,5570061
06/20/2021,AS,20908
11/20/2021,MH,22013
11/21/2021,MP,35418
11/04/2021,IN,3376048
08/04/2021,OK,1648541
03/02/2021,ND,87575
08/07/2021,MS,1080402
02/13/2021,AZ,335525
04/25/2021,IN,1843390
01/02/2021,NH,14
02/23/2021,MS,188036
07/01/2021,OH,5350609
05/19/2021,NJ,4184559
05/14/2021,OH,4564562
07/31/2021,ME,872633
09/22/2021,PA,7051896
12/18/2020,IN,125
07/23/2021,NJ,5238558
04/26/2021,NE,660319
09/28/2021,NV,1573593
10/06/2021,KS,1528441
01/17/2021,SC,32447
10/11/2021,IL,7592268
01/26/2021,RP,3
10/14/2021,SC,2534630
04/04/2021,CO,1199237
06/21/2021,OH,5251334
01/01/2021,NV,60
12/28/2020,OH,207
01/16/2021,AS,778
03/23/2021,UT,453753
09/09/2021,WY,235442
02/27/2021,VT,61867
07/07/2021,PA,6410722
09/30/2021,WY,246209
11/13/2021,CT,2549124
12/04/2021,PR,2399510
04/27/2021,GU,60910
12/20/2020,WA,33
05/15/2021,NE,821695
08/25/2021,OR,2462728
12/07/2021,NH,894818
05/16/2021,ID,583991
09/07/2021,AZ,3635341
06/28/2021,WI,2961370
02/27/2021,MI,922343
11/24/2021,MS,1402446
06/24/2021,WV,1049412
03/18/2021,IN,983864
09/15/2021,IL,7364466
11/01/2021,VT,449041
11/26/2021,MN,3527683
01/13/2021,NV,18991
07/20/2021,DE,518396
02/28/2021,MN,554441
12/21/2020,GA,602
02/22/2021,NH,97506
07/28/2021,WY,218346
06/21/2021,FM,24841
09/10/2021,MT,512174
11/02/2021,OK,2000007
04/26/2021,NJ,3133279
09/21/2021,KS,1498239
01/22/2021,OK,58778
11/03/2021,PR,2362972
03/06/2021,MD,674915
08/02/2021,FL,10745139
11/18/2021,FL,13126190
06/30/2021,AS,21711
10/18/2021,MS,1358852
09/08/2021,MD,3797053
06/26/2021,TX,12238241
09/22/2021,GA,4722893
02/04/2021,TX,909080
10/04/2021,DC,436004
03/11/2021,NC,1317232
01/06/2021,VI,24
12/14/2021,IN,3468714
03/24/2021,HI,283238
02/12/2021,AK,76280
03/24/2021,LA,756689
05/17/2021,IN,2424458
08/23/2021,GU,104887
10/13/2021,IL,7607362
01/20/2021,DC,6519
07/28/2021,AK,347791
01/19/2021,PA,127280
10/01/2021,NJ,5788986
01/30/2021,PR,88564
02/06/2021,MN,195522
10/12/2021,KS,1537366
01/11/2021,NH,4783
04/21/2021,MO,1687714
07/29/2021,PA,6571989
05/11/2021,PA,4972286
11/30/2021,UT,1811683
01/25/2021,WA,107692
03/18/2021,ID,253444
01/15/2021,MS,12726
02/10/2021,IN,309648
07/02/2021,AK,338227
08/04/2021,MS,1071265
11/06/2021,OK,2009424
03/01/2021,SC,456256
04/27/2021,CO,1931709
01/09/2021,NM,18032
07/27/2021,DE,522789
05/02/2021,NH,521565
05/25/2021,DE,439652
07/26/2021,NE,967024
02/11/2021,AK,71156
04/20/2021,IN,1724522
12/08/2021,LA,2299274
05/04/2021,GU,66541
05/13/2021,VA,3602606
11/18/2021,NY,13323277
12/19/2020,NH,1
04/22/2021,MD,1971040
06/06/2021,NY,9919819
12/01/2021,TN,3405401
08/15/2021,TN,2808124
09/01/2021,WA,4502448
11/10/2021,CA,24610133
08/22/2021,FL,11276906
12/06/2021,FL,13360379
05/27/2021,FM,20455
06/08/2021,US,149741136
03/13/2021,MT,167910
04/24/2021,MH,13020
11/27/2021,MO,3139145
12/25/2020,AL,72
12/14/2020,UT,294
08/29/2021,NH,828990
08/16/2021,NJ,5403892
01/17/2021,ND,7786
10/11/2021,MI,5305338
01/11/2021,IA,8432
03/16/2021,NH,176439
07/12/2021,KS,1323010
12/13/2020,RI,1
02/01/2021,OR,104321
05/24/2021,ME,745002
06/15/2021,NE,913157
02/04/2021,TN,262701
02/04/2021,RI,38161
07/19/2021,MH,17305
08/30/2021,VT,433753
09/14/2021,KY,2123373
03/09/2021,TX,2981604
10/24/2021,CT,2518979
11/22/2021,MH,22019
09/28/2021,PR,2314930
11/07/2021,RP,15707
05/01/2021,MT,381212
12/12/2021,MI,5587025
02/25/2021,RP,3095
07/13/2021,MD,3519272
08/09/2021,IA,1606066
02/09/2021,IA,131147
02/25/2021,VI,8636
02/24/2021,AK,106723
03/08/2021,WA,911647
05/20/2021,TN,2323007
02/22/2021,KY,334538
09/12/2021,CO,3395491
12/26/2020,NJ,282
10/09/2021,GA,4919325
10/31/2021,AK,390253
10/08/2021,CT,2490017
11/28/2021,NE,1112662
11/21/2021,ID,806870
05/23/2021,OK,1429040
07/26/2021,LA,1750534
03/10/2021,KS,343243
01/29/2021,VT,21762
12/07/2021,AZ,4053342
01/06/2021,NE,5508
03/12/2021,NH,164671
11/06/2021,MS,1384949
08/21/2021,OK,1722393
